EMAIL,USERNAME,FIRST NAME,LAST NAME,PASSWORD,SECT NO, TEAM NO
alfaried@smu.edu.sg,smustu\alfaried,Al Faried,Yusoff,SMUSTU\ALFARIEDal faried_ESM1001,G3 ,Team 1
joel@smu.edu.sg,smustu\joel,Joel,Tay,SMUSTU\JOELjoel_ESM1001,G3 ,Team 2
martin@smu.edu.sg,smustu\martin,Martin,Teo,SMUSTU\MARTINmartin_ESM1001,G4 ,Team 1
rizudin@smu.edu.sg,smustu\rizudin,Rizudin,Jalar,SMUSTU\RIZUDINrizudin_ESM1001,G2 ,Team 2
bernadine@smu.edu.sg,smustu\bernadine,Bernadine,Lye,SMUSTU\BERNADINEbernadine_ESM1001,G2 ,Team 3
tom@smu.edu.sg,smustu\tom,Tom,Cat,SMUSTU\TOMtom_ESM1001,G1 ,Team 3
eddie@smu.edu.sg,smustu\eddie,Eddie,Hall,SMUSTU\EDDIEeddie_ESM1001,G3 ,Team 1
ben@smu.edu.sg,smustu\ben,Ben,Ten,SMUSTU\BENben_ESM1001,G4 ,Team 2
sarah@smu.edu.sg,smustu\sarah,Sarah,Tan,SMUSTU\SARAHsarah_ESM1001,G2 ,Team 1
mock@smu.edu.sg,smustu\mock,Mock,Tan,SMUSTU\MOCKmock_ESM1001,G1 ,Team 2
eric@smu.edu.sg,smustu\eric,Eric,Tay,SMUSTU\ERICeric_ESM1001,G3 ,Team 2
sam.ma@smu.edu.sg,smustu\sam.ma,Sam Ma,Than,SMUSTU\SAM.MAsam ma_ESM1001,G4 ,Team 2
kill@smu.edu.sg,smustu\kill,Kill,Monger,SMUSTU\KILLkill_ESM1001,G1 ,Team 1
livid@smu.edu.sg,smutu\livid,Livid,Coffee,SMUTU\LIVIDlivid_ESM1001,G1 ,Team 3
duncan@smu.edu.sg,smustu\duncan,Duncan,Jones,SMUSTU\DUNCANduncan_ESM1001,G3 ,Team 3
iain@smu.edu.sg,smustu\iain,Iain,Tai,SMUSTU\IAINiain_ESM1001,G4 ,Team 3
ali@smu.edu.sg,smustu\ali,Ali,Samsudin,SMUSTU\ALIali_ESM1001,G1 ,Team 2
vernie@smu.edu.sg,smustu\vernie,Vernie,Lim,SMUSTU\VERNIEvernie_ESM1001,G2 ,Team 3
thomas@smu.edu.sg,smustu\thomas,Thomas,Marshall,SMUSTU\THOMASthomas_ESM1001,G4 ,Team 3
edda@smu.edu.sg,smustu\edda,Edda,Manequin,SMUSTU\EDDAedda_ESM1001,G2 ,Team 2
jay@smu.edu.sg,smustu\jay,Jay,Bird,SMUSTU\JAYjay_ESM1001,G3 ,Team 3
adam@smu.edu.sg,smustu\adam,Adam,Levine,SMUSTU\ADAMadam_ESM1001,G2 ,Team 1
susano.tibet@smu.edu.sg,smustu\susano.tibet,Susano Tibet,Tan,SMUSTU\SUSANO.TIBETsusano tibet_ESM1001,G4 ,Team 1
oogle@smu.edu.sg,smustu\oogle,Google,Pixie,SMUSTU\OOGLEgoogle_ESM1001,G1 ,Team 1
